Assay_Type	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	analysis_type	collection_date	env_biome	env_feature	env_material	flowcell_barcode	geo_loc_name	gssr_id	host	host_age	host_disease	host_sex	host_subject_id	instrument_name	isolation_source	lane	lat_lon	library_type	lsid	product_order	project	read_group_id	run_barcode	run_name	work_request	AssemblyName	Consent	Organism
RNA-Seq	76	PRJNA39859	SAMN00002866		CGS-GL	sra	sra-sos	sra-sos.public	SRX012277	0	Illumina Genome Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	2014-05-26	295	201	ILLUMINA	2010-01-14	SRR029167	SRS004475	SRP001022	Humanized mouse gut microbiome																											public	human gut metagenome
RNA-Seq	36	PRJNA39859	SAMN00002866		CGS-GL	sra	sra-sos	sra-sos.public	SRX012277	0	Illumina Genome Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	2014-05-26	188	134	ILLUMINA	2010-01-14	SRR029168	SRS004475	SRP001022	Humanized mouse gut microbiome																											public	human gut metagenome
RNA-Seq	72	PRJNA39859	SAMN00002866		CGS-GL	sra	sra-sos	sra-sos.public	SRX012277	0	Illumina Genome Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	2014-05-26	94	62	ILLUMINA	2010-01-14	SRR029169	SRS004475	SRP001022	Humanized mouse gut microbiome																											public	human gut metagenome
RNA-Seq	72	PRJNA39859	SAMN00002866		CGS-GL	sra	sra-sos	sra-sos.public	SRX012277	0	Illumina Genome Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	2014-05-26	166	111	ILLUMINA	2010-01-14	SRR029170	SRS004475	SRP001022	Humanized mouse gut microbiome																											public	human gut metagenome
RNA-Seq	32	PRJNA39859	SAMN00002866		CGS-GL	sra	sra-sos	sra-sos.public	SRX012277	0	Illumina Genome Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	2014-05-26	120	86	ILLUMINA	2010-01-14	SRR029171	SRS004475	SRP001022	Humanized mouse gut microbiome																											public	human gut metagenome
RNA-Seq	32	PRJNA39859	SAMN00002866		CGS-GL	sra	sra-sos	sra-sos.public	SRX012277	0	Illumina Genome Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	2014-05-26	129	91	ILLUMINA	2010-01-14	SRR029172	SRS004475	SRP001022	Humanized mouse gut microbiome																											public	human gut metagenome
RNA-Seq	32	PRJNA39859	SAMN00002866		CGS-GL	sra	sra-sos	sra-sos.public	SRX012277	0	Illumina Genome Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	2014-05-26	162	113	ILLUMINA	2010-01-14	SRR029173	SRS004475	SRP001022	Humanized mouse gut microbiome																											public	human gut metagenome
RNA-Seq	36	PRJNA39859	SAMN00002866		CGS-GL	sra	sra-sos	sra-sos.public	SRX012277	0	Illumina Genome Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	2014-05-26	67	24	ILLUMINA	2010-01-14	SRR029704	SRS004475	SRP001022	Humanized mouse gut microbiome																											public	human gut metagenome
RNA-Seq	32	PRJNA39859	SAMN00002866		CGS-GL	sra	sra-sos	sra-sos.public	SRX012277	0	Illumina Genome Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	2014-05-26	20	16	ILLUMINA	2010-01-14	SRR029705	SRS004475	SRP001022	Humanized mouse gut microbiome																											public	human gut metagenome
RNA-Seq	32	PRJNA39859	SAMN00002866		CGS-GL	sra	sra-sos	sra-sos.public	SRX012277	0	Illumina Genome Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	2014-05-26	26	20	ILLUMINA	2010-01-14	SRR029706	SRS004475	SRP001022	Humanized mouse gut microbiome																											public	human gut metagenome
RNA-Seq	32	PRJNA39859	SAMN00002866		CGS-GL	sra	sra-sos	sra-sos.public	SRX012277	0	Illumina Genome Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	2014-05-26	56	41	ILLUMINA	2010-01-14	SRR029707	SRS004475	SRP001022	Humanized mouse gut microbiome																											public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN00002882		BI	sra	ncbi		SRX512317	235	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	SM-4SWEY	2014-04-07	112	73	ILLUMINA	2014-04-07	SRR1220603	SRS004493	SRP030662	PRJNA218187.11681.ST.21.1	AssemblyWithoutReference					C36KBACXX		473777.0						SL-HEF	missing	6		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:473777.0	PDO-2988	G49809	C36KB.6	C36KBACXX140123	140123_SL-HEF_0155_AFCC36KBACXX	40088		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN00002882		BI	sra	ncbi		SRX512611	235	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	SM-4SWEY	2014-04-08	110	74	ILLUMINA	2014-04-08	SRR1221234	SRS004493	SRP030662	PRJNA218187.11681.ST.21.1	AssemblyWithoutReference					C3PP1ACXX		473777.0						SL-HEK	missing	1		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:473777.0	PDO-2988	G49809	C3PP1.1	C3PP1ACXX140124	140124_SL-HEK_0147_AFCC3PP1ACXX	40088		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN00002882		BI	sra	ncbi		SRX512317	235	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	SM-4SWEY	2014-04-12	108	70	ILLUMINA	2014-04-12	SRR1236462	SRS004493	SRP030662	PRJNA218187.11681.ST.21.1	AssemblyWithoutReference					C36KBACXX		473777.0						SL-HEF	missing	7		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:473777.0	PDO-2988	G49809	C36KB.7	C36KBACXX140123	140123_SL-HEF_0155_AFCC36KBACXX	40088		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN00002882		BI	sra	ncbi		SRX512317	235	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	SM-4SWEY	2014-04-12	110	71	ILLUMINA	2014-04-12	SRR1236498	SRS004493	SRP030662	PRJNA218187.11681.ST.21.1	AssemblyWithoutReference					C36KBACXX		473777.0						SL-HEF	missing	8		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:473777.0	PDO-2988	G49809	C36KB.8	C36KBACXX140123	140123_SL-HEF_0155_AFCC36KBACXX	40088		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN00002882		BI	sra	ncbi		SRX512611	235	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	SM-4SWEY	2014-09-20	110	74	ILLUMINA	2014-09-20	SRR1582214	SRS004493	SRP030662	PRJNA218187.11681.ST.21.1	AssemblyWithoutReference					C3PP1ACXX		473777.0						SL-HEK	missing	2		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:473777.0	PDO-2988	G49809	C3PP1.2	C3PP1ACXX140124	140124_SL-HEK_0147_AFCC3PP1ACXX	40088		public	human gut metagenome
